root,meaning
mem,記憶
men,記憶/結果
mend,誤り
mer,水
merce,商品を扱う
merch,商売する
mere,単なる
mester,=month月
meta-,変化
metro,=mother母
metry,=meter測る
micro-,小さい
might,力
migr,移動する
mille,千
mine,掘る
minent,突き出る
mini,小さい
mis-,間違って
mise,=mit送る
miss,送る
mit,送る
mob,=move動く
mod,便利
molish,塊にする
mon,1/思い出させる
monit,警告する
mono-,1
monu,=mom思い出させる
mor,死
morph,形・変形
mpt,=take取る
multi-,多くに
muni,役割
mut,変化する/変化
nap,つかみ取る
narr,語る
nat,生まれる・自然
nate,生まれる
naught,=nothingゼロ
neg,否定
-ness,名詞語尾
nom,名前・法則
nomy,=norm法
nov,新しい
nui,悪
nutrition,栄養
nym,=name名前
oar,=air
ob-,=against
odo,臭い
oid,ようなもの
ole,=old
opt,選択
or-,=origin
-or,丸い/する人
orb,丸い
ordi,order順序
ordinate,きちんと並べる
ore,=oral口
-ous,形容詞語尾
outr,度を超えて
pair,悪化
pal,=pale青白い
par,等しい
para-,並んで
parent,=appear現れる
pari,=par等しい
patch,邪魔
path,感じる・病気・苦しみ
pathy,感情
patri,父の
peas,固定する
ped,足
pedia,教育
pel,押す
pen,ほとんど
penetr,奥に
per-,=through
peri-,危険
pha,出現
pharma,薬
phil,愛する
phobia,恐怖症
phon,音・声
phor,運ぶ
phot,光
pict,=picture絵
pile,山、積み重ね
pire,=spir呼吸
pit,穴
pla,打つ
plant,植える
ple,満たす
plex,折り曲げる
plic,折る・重なる
plicit,折る
ploit,=ply折る
plus,プラス
ply,折る
poli,都市・政治
poly-,売る
pond,吊るす
pone,置く
popul,人々
port,運ぶ
pos,置く・位置
post-,置く/後に
potent,力
pound,置く
pre-,前に
predat,つかむ
prim,第1位
prior,前の
prise,つかむ
prive,=private
pro-,前方/～の代わり
prob,証明
prot,最初の
psych,精神
pul,=per押し付ける
punct,刺す・点
pur,求める
pute,考える
quaint,=know
quarters,地区
quiry,=quest探求
quo,どれくらいの
radi,=root根
radic,=root根
ratio,計算
ray,準備
re-,再び/後ろ
reg,=rule/=rule支配
regard,見る
relation,関係
ren,元へ
render,=give
rive,=river
roll,名簿
rupt,崩れる/壊す
sacr,神聖な
sanc,神聖な
sane,正気の
scend,行く
scent,～期の
science,知識
scrib,書く
scribe,書く
sculp,掘る
scure,覆い
se,=six6/=side離れて
sect,切る
secu,後を追う
semble,=same同じ
sens,感情
sent,感じる
sequence,連続
sequi,追う
sert,結合する
serve,奉仕する
sess,座る
set,設置する
sh,動詞化
shabb,=scabかさぶた
-ship,状態
sidy,=sit座っている
sign,印・合図
sil,跳ぶ
sim,=same
simil,=similarよく似た
soci,社会
sol,太陽・一人
sole,1つ
solute,開放する
-some,しやすい
son,音
sophi,知恵
sorb,吸い込む
spair,=sper希望
spec,見る
spect,見る
sphere,球
spi,=spect見る
spir,息
spira,呼吸する
sta,じっとして/じっとしていて
state,状態
ste,=stand
still,滴る
stinct,=stick棒
strain,きつく結ぶ/締め付けること
struct,組み立てる・構造
structure,構造
sub-,下
suf,=sub下
sum,=sub下
sume,取る
sur-,上/=sure確かな
sus,=sub下
sylum,侵す
sym-,=syn同じ
tach,接触
tact,触れる
tain,保持する
-taneous,形容詞語尾
tangle,接触
techn,技術・技能
tect,覆い
tegr,=tact接触
template,=temple占いの場所
tempor,時間
tend,伸びる
ter,=terror恐怖/反復
terior,より悪く
term,枠
terr,土地
text,織られた
therm,熱
thesis,主題
thus,神
-tic,形容詞語尾
timate,最も
-tion,こと
tire,疲れる
title,称号
tive,性質
tle,織り込み
tom,切る
ton,雷の音
tort,ねじる
tox,毒
tra,引っ張る/引き渡す
tract,引く
trans-,越えて
treat,=train引く
trem,震える
tri-,3
tribute,与える
trig,引く
trude,ぐいと押す
tui,見る
-ture,状態/結果
tyran,暴君
ultim,=ultra最終の
un-,逆動作
unda,流れる
uni-,1つ
up-,上
urb,都市
-ure,状態
uti,=use
utt,=out外
vac,空っぽの
vade,行く
vail,=value力
val,価値・強い
vapor,水蒸気
var,変化・様々な
veal,ベール
ven,来る
vene,来る
ver,回る/=very真の
verb,動詞/言葉
vert,回る
vi,命令
via,道
vid,見る
vide,見る
vise,見る
vit,生命
viv,生きる
vive,生命
voc,声
voke,=voice声
vol,回って
vor,食べる
vulner,傷つける
wa,=va空っぽの
ware,物
whelm,覆う
-wise,=way方法
wit,知っている
wor,=worth価値
work,労働
wr,ねじる
zo,動物
