word,meaning,partOfSpeech,example,example_ja,leapPart,leapNumber,tags
celebrate,①（特別な日、出来事）を祝う ②（儀式など）を挙行する，執り行う,他動詞,①We celebrated his birthday. ②They celebrated the ceremony.,①私たちは彼の誕生日を祝った。 ②彼らはその式典を執り行った。,Part1,16,
congratulate,（人）を祝う，～にお祝いを述べる,他動詞,I congratulated her on winning the prize.,私は彼女が賞を取ったことをお祝いした。,Part1,17,
admire,～を称賛する，～に感心する,他動詞,Everyone admires her kindness.,みんなが彼女の親切さを称賛している。,Part1,18,
impress,～に感銘を与える，～を感心させる,他動詞,His speech impressed the audience.,彼のスピーチは聴衆に感銘を与えた。,Part1,19,
award,①賞 ②～を授与する,名詞,①She won the best actress award. ②He was awarded a gold medal.,①彼女は最優秀女優賞を受賞した。 ②彼は金メダルを授与された。,Part1,20,
explain,～を説明する,他動詞,Can you explain this rule to me?,このルールを私に説明してもらえますか？,Part1,21,
describe,～を説明する,他動詞,Please describe what you saw.,あなたが見たものを説明してください。,Part1,22,
communicate,①（with ～）（～と）意思の疎通をはかる ②～を伝える,自動詞,①It is hard to communicate with him. ②She communicated her ideas clearly.,①彼と意思の疎通を図るのは難しい。 ②彼女は自分の考えをはっきりと伝えた。,Part1,23,
express,①（意見，気持ち）を表現する ②急行（列車，バス）,他動詞,①He expressed his feelings in a letter. ②We took the express to Tokyo.,①彼は手紙で気持ちを表現した。 ②私たちは急行で東京へ行った。,Part1,24,
promise,①約束 ②～を約束する,名詞,①He kept his promise. ②She promised to call me.,①彼は約束を守った。 ②彼女は私に電話すると約束した。,Part1,25,
information,情報〈不可算〉,名詞,This website has useful information.,このウェブサイトには役立つ情報がある。,Part1,26,
technology,（科学）技術,名詞,New technology changes our lives.,新しい技術が私たちの生活を変えている。,Part1,27,
research,①（学術）研究 ②～を研究する,名詞,①He does research on birds. ②She researched the topic online.,①彼は鳥の研究をしている。 ②彼女はそのテーマをオンラインで研究した。,Part1,28,
material,①材料，生地 ②資料，教材 ③物質的な ④重大な,名詞,①Wood is a natural material. ②The teacher gave us study materials. ③Money is not everything material. ④This is a material difference.,①木は天然の材料だ。 ②先生は私たちに教材を配った。 ③お金がすべての物質的なものではない。 ④これは重大な違いだ。,Part1,29,
artificial,人工的な,形容詞,This juice contains artificial flavors.,このジュースには人工香料が含まれている。,Part1,30,
electric,電気の，電動の,形容詞,He drives an electric car.,彼は電気自動車を運転している。,Part1,31,
invent,①～を発明する ②（話など）をでっち上げる,他動詞,①Edison invented the light bulb. ②He invented an excuse.,①エジソンは電球を発明した。 ②彼は言い訳をでっち上げた。,Part1,32,
discover,①～を発見する ②（that SV）～を知る，～に気がつく ③（知るという意味で）～に出会う,他動詞,①Columbus discovered America. ②She discovered that she lost her key. ③I discovered a great book.,①コロンブスはアメリカを発見した。 ②彼女は鍵をなくしたことに気がついた。 ③私はすばらしい本に出会った。,Part1,33,
develop,①発達する ②～を発達させる ③～を開発する ④（話，考え）を発展させる ⑤（病気）にかかる,自動詞,①Children develop quickly. ②We developed a new app. ③They developed a new drug. ④He developed his idea further. ⑤She developed a cold.,①子どもは早く発達する。 ②私たちは新しいアプリを開発した。 ③彼らは新薬を開発した。 ④彼はアイデアをさらに発展させた。 ⑤彼女は風邪にかかった。,Part1,34,
skill,技術，力,名詞,Cooking is a useful skill.,料理は役立つ技術だ。,Part1,35,
ability,能力,名詞,She has the ability to learn fast.,彼女には早く覚える能力がある。,Part1,36,
talent,才能,名詞,He has a talent for music.,彼には音楽の才能がある。,Part1,37,
effort,努力,名詞,She made every effort to pass the exam.,彼女は試験に合格するために全力で努力した。,Part1,38,
practice,①練習 ②実践 ③慣習 ④～を練習する ⑤～を実践する,名詞,①Practice makes perfect. ②Putting ideas into practice is hard. ③It is a common practice here. ④He practiced the piano every day. ⑤She practiced what she learned.,①練習は完璧を作る。 ②アイデアを実践に移すのは難しい。 ③それはここでは一般的な慣習だ。 ④彼は毎日ピアノを練習した。 ⑤彼女は学んだことを実践した。,Part1,39,
achieve,～を達成する,他動詞,She achieved her goal at last.,彼女はついに目標を達成した。,Part1,40,
manage,①（to do）何とかして～する ②～を経営する，管理する,他動詞,①He managed to finish on time. ②She manages a small company.,①彼は何とか時間通りに終えた。 ②彼女は小さな会社を経営している。,Part1,41,
improve,①～を改善する，磨く ②よくなる,他動詞,①You can improve your English by reading. ②His health improved last week.,①読書で英語を磨くことができる。 ②先週、彼の体調はよくなった。,Part1,42,
produce,①～を生産する，産出する ②（見せるために）～を取り出す ③農作物〈不可算〉,他動詞,①This factory produces cars. ②He produced his ID card. ③Farmers sell fresh produce.,①この工場は車を生産している。 ②彼は身分証明書を取り出した。 ③農家が新鮮な農作物を売っている。,Part1,43,
create,①～を創造する ②～を引き起こす,他動詞,①She created a beautiful painting. ②The storm created big problems.,①彼女は美しい絵を創造した。 ②嵐は大きな問題を引き起こした。,Part1,44,
establish,①～を確立する，定着させる ②～を設立する,他動詞,①They established a new rule. ②He established a school in this town.,①彼らは新しいルールを確立した。 ②彼はこの町に学校を設立した。,Part1,45,
form,①～を形成する ②形態 ③書式,他動詞,①Ice forms when water freezes. ②There are many forms of art. ③Please fill in this form.,①水が凍ると氷が形成される。 ②芸術にはさまざまな形態がある。 ③この書式に記入してください。,Part1,46,
save,①（時間，手間）を省く ②～を貯金する ③（命など）を救う ④～を除いて（＝except）,他動詞,①This machine saves a lot of time. ②He saves money every month. ③The doctor saved her life. ④Everyone save him agreed.,①この機械は多くの時間を省く。 ②彼は毎月お金を貯金している。 ③医者が彼女の命を救った。 ④彼を除いて全員が賛成した。,Part1,47,
medicine,①（for ～）（～の）薬 ②医学（＝medical science）,名詞,①Take this medicine after meals. ②She wants to study medicine.,①食後にこの薬を飲んでください。 ②彼女は医学を勉強したい。,Part1,48,
patient,①患者 ②忍耐強い,名詞,①The doctor saw ten patients today. ②Be patient and wait a little longer.,①医者は今日10人の患者を診た。 ②忍耐強く、もう少し待ってください。,Part1,49,
condition,①状態，容態 ②（通例 ―s）（周囲の）状況，条件,名詞,①The patient is in good condition. ②We work under difficult conditions.,①患者の状態は良好だ。 ②私たちは困難な状況のもとで働いている。,Part1,50,
medical,①医療の ②医学の,形容詞,①She needs medical care. ②He is interested in medical science.,①彼女は医療ケアが必要だ。 ②彼は医学に興味がある。,Part1,51,
stress,①ストレス ②（on ～）（～に対する）強調 ③～を強調する,名詞,①Work stress is bad for your health. ②She put stress on the importance of sleep. ③He stressed the need for change.,①仕事のストレスは健康に悪い。 ②彼女は睡眠の大切さを強調した。 ③彼は変化の必要性を強調した。,Part1,52,
suffer,①（from ～）（病気などで）苦しむ ②（苦痛，損害）を経験する,自動詞,①She suffers from back pain. ②He suffered a great loss.,①彼女は腰痛で苦しんでいる。 ②彼は大きな損害を経験した。,Part1,53,
exercise,①運動 ②（―s）練習 ③運動する ④～を行使する,名詞,①Daily exercise keeps you healthy. ②These math exercises are difficult. ③She exercises every morning. ④He exercised his right to vote.,①毎日の運動は健康を保つ。 ②これらの数学の練習は難しい。 ③彼女は毎朝運動する。 ④彼は投票する権利を行使した。,Part1,54,
breathe,呼吸する，息をする,自動詞,Breathe in slowly and then breathe out.,ゆっくり息を吸って、それから吐いてください。,Part1,55,
thirsty,①のどが渇いた ②（for ～）（～を）切望して,形容詞,①I am very thirsty after running. ②She is thirsty for knowledge.,①走った後でとてものどが渇いた。 ②彼女は知識を切望している。,Part1,56,
physical,①身体的な ②物理的な,形容詞,①Swimming is good for physical health. ②There is a physical law behind this.,①水泳は身体的な健康によい。 ②この背後には物理的な法則がある。,Part1,57,
fever,①（体温の）熱 ②熱狂,名詞,①He stayed home because of a fever. ②There was World Cup fever all over the town.,①彼は熱のせいで家にいた。 ②町全体にワールドカップ熱狂が広まっていた。,Part1,58,
strength,①（physical ―）体力 ②力,名詞,①She built her strength by swimming. ②The strength of that rope is amazing.,①彼女は水泳で体力をつけた。 ②そのロープの強さは驚くべきものだ。,Part1,59,
tear,①（通例 ―s）涙〈可算〉 ②（up）～を引き裂く,名詞,①Tears ran down her face. ②He tore up the letter.,①涙が彼女の顔を伝って流れた。 ②彼はその手紙を引き裂いた。,Part1,60,
taste,①～の味がする ②～の味をみる ③味 ④好み,自動詞,①This soup tastes sweet. ②Can I taste your cake? ③I don't like the taste of this fish. ④She has good taste in clothes.,①このスープは甘い味がする。 ②あなたのケーキを味見してもいいですか？ ③この魚の味が好きではない。 ④彼女は服のセンスがいい。,Part1,61,
rule,①規則 ②～を支配する,名詞,①You must follow the school rules. ②The king ruled the country for many years.,①学校の規則に従わなければならない。 ②その王は長年その国を支配した。,Part1,62,
role,役割,名詞,Teachers play an important role in society.,教師は社会において重要な役割を果たす。,Part1,63,
habit,習慣，癖,名詞,Going to bed early is a good habit.,早寝は良い習慣だ。,Part1,64,
custom,①習慣 ②（―s）税関、関税,名詞,①It is a custom to bow in Japan. ②He had to go through customs at the airport.,①日本ではお辞儀をする習慣がある。 ②彼は空港で税関を通らなければならなかった。,Part1,65,
tradition,伝統,名詞,This festival is an old tradition.,この祭りは古い伝統だ。,Part1,66,
society,①社会〈不可算〉 ②（ある具体的な）社会〈可算〉 ③（one's ―）～と同席すること ④協会,名詞,①We must work together in society. ②He grew up in a small society. ③I enjoyed her society. ④He joined a music society.,①私たちは社会の中で協力しなければならない。 ②彼は小さな社会で育った。 ③私は彼女と同席することを楽しんだ。 ④彼は音楽協会に入った。,Part1,67,
law,①（the ―）（集合的に）法律，国法 ②（個々の）法律 ③（科学などの）法則,名詞,①You must obey the law. ②There is a new law about recycling. ③The laws of physics are amazing.,①法律に従わなければならない。 ②リサイクルに関する新しい法律がある。 ③物理の法則は驚くべきものだ。,Part1,68,
ancestor,祖先,名詞,My ancestors came from China.,私の祖先は中国から来た。,Part1,69,
population,①人口，個体数 ②（一定の地域に住む）住民,名詞,①The population of Japan is about 120 million. ②The local population is very friendly.,①日本の人口は約1億2千万人だ。 ②地元の住民はとても親切だ。,Part1,70,
native,①母国の，その土地の ②（ある土地の）生まれの人,形容詞,①English is her native language. ②He is a native of this town.,①英語は彼女の母国語だ。 ②彼はこの町の生まれだ。,Part1,71,
abroad,海外へ，海外で,副詞,She wants to study abroad next year.,彼女は来年海外で勉強したい。,Part1,72,
local,①その土地の，地元の ②地方の ③地元の人,形容詞,①I shop at the local market. ②This is a local train. ③The locals are very kind.,①私は地元の市場で買い物をする。 ②これは地方の電車だ。 ③地元の人たちはとても親切だ。,Part1,73,
survey,①調査〈可算〉 ②～を調査する,名詞,①The survey showed that most people agree. ②We surveyed students about their habits.,①調査はほとんどの人が賛成していることを示した。 ②私たちは生徒に習慣について調査した。,Part1,74,
value,①価値 ②（―s）価値観 ③お買い得品〈不可算〉 ④～を重んじる,名詞,①Hard work has great value. ②Our values are different. ③This bag is good value. ④She values her family most.,①努力には大きな価値がある。 ②私たちの価値観は違う。 ③このバッグはお買い得だ。 ④彼女は家族を最も大切にしている。,Part1,75,
treasure,①財宝，宝 ②大事な物［人］ ③（思い出など）を大事にする,名詞,①The pirates found a treasure. ②This old photo is my treasure. ③She treasures every moment with her family.,①海賊が財宝を見つけた。 ②この古い写真は私の大事な物だ。 ③彼女は家族と過ごす時間を大切にしている。,Part1,76,
fashion,①流行 ②流儀，やり方 ③（手などで）～を作る,名詞,①Short skirts are in fashion now. ②He did it in his own fashion. ③She fashioned a toy from clay.,①短いスカートが今流行っている。 ②彼は自分流のやり方でそれをやった。 ③彼女は粘土でおもちゃを作った。,Part1,77,
public,①（the ―）大衆 ②公共の，公の,名詞,①The public was shocked by the news. ②This is a public park.,①大衆はそのニュースに衝撃を受けた。 ②ここは公共の公園だ。,Part1,78,
evidence,証拠〈不可算〉,名詞,The police found clear evidence of the crime.,警察はその犯罪の明確な証拠を見つけた。,Part1,79,
vote,①投票（数)②投票する,名詞,①She got the most votes. ②He voted for the new leader.,①彼女が最多得票だった。 ②彼は新しいリーダーに投票した。,Part1,80,
government,政府,名詞,The government decided to cut taxes.,政府は税金を減らすことを決定した。,Part1,81,
nation,①国家 ②（the ―)国民,名詞,①People from many nations joined the event. ②The whole nation watched the game.,①多くの国家からの人々がそのイベントに参加した。 ②国民全体がその試合を観戦した。,Part1,82,
capital,①首都 ②資本 ③重大な，死に値する,名詞,①Tokyo is the capital of Japan. ②They need more capital to start the business. ③It was a capital mistake.,①東京は日本の首都だ。 ②彼らはビジネスを始めるためにもっと資本が必要だ。 ③それは重大な間違いだった。,Part1,83,
state,①州 ②状態 ③国家 ④（意見，情報）を述べる,名詞,①California is a state in the USA. ②Water changes its state when heated. ③He became head of state. ④She stated her opinion clearly.,①カリフォルニアはアメリカの州だ。 ②水は熱すると状態が変わる。 ③彼は国家元首になった。 ④彼女は自分の意見をはっきりと述べた。,Part1,84,
political,政治的な，政治の,形容詞,She has strong political views.,彼女は強い政治的な意見を持っている。,Part1,85,
price,①価格 ②（―s）物価 ③代償,名詞,①The price of this bag is too high. ②Food prices are going up. ③He paid a high price for his mistake.,①このバッグの価格が高すぎる。 ②食料品の物価が上がっている。 ③彼はミスの代償を高く払った。,Part1,86,
sum,①（修飾語を伴って）金額 ②合計 ③（簡単な）計算 ④（up）～を要約する,名詞,①He paid a large sum of money. ②The sum of 3 and 5 is 8. ③Simple sums are easy for her. ④She summed up the meeting.,①彼は多額のお金を払った。 ②3と5の合計は8だ。 ③簡単な計算は彼女には簡単だ。 ④彼女は会議を要約した。,Part1,87,
budget,①予算 ②安い,名詞,①We need to stay within our budget. ②He stayed at a budget hotel.,①予算内に収まる必要がある。 ②彼は安いホテルに泊まった。,Part1,88,
fee,①（会費，遊園地などの）料金 ②（専門職への）謝礼,名詞,①The entrance fee is 500 yen. ②The lawyer's fee was high.,①入場料は500円だ。 ②弁護士への謝礼は高かった。,Part1,89,
fare,運賃,名詞,"The train fare from here to Tokyo is 1,000 yen.","ここから東京までの電車の運賃は1,000円だ。",Part1,90,
bill,①勘定 ②請求書 ③〈米〉紙幣 ④法案,名詞,"①Can I have the bill, please? ②He paid the electricity bill. ③She paid with a ten-dollar bill. ④The new bill passed in Parliament.",①お勘定をお願いします。 ②彼は電気代の請求書を払った。 ③彼女は10ドル紙幣で払った。 ④新しい法案が議会を通過した。,Part1,91,
trade,①貿易 ②（the ～ trade）～業 ③商売 ④～を交換する,名詞,①Japan depends on trade with other countries. ②He works in the food trade. ③Trade is important in this area. ④She traded her book for his.,①日本は他国との貿易に依存している。 ②彼は食品業で働いている。 ③この地域では商売が重要だ。 ④彼女は本を彼のものと交換した。,Part1,92,
wealth,①富，財産〈不可算〉 ②（a ― of ～）豊富な～,名詞,①His wealth came from hard work. ②She has a wealth of experience.,①彼の富は努力から生まれた。 ②彼女は豊富な経験を持っている。,Part1,93,
economy,①経済 ②節約,名詞,①The economy is growing. ②She bought the smaller size for economy.,①経済は成長している。 ②彼女は節約のために小さいサイズを買った。,Part1,94,
cost,①（費用）を要する，～がかかる ②～を犠牲にする ③費用，犠牲,他動詞,①The trip will cost a lot. ②His mistake cost him his job. ③The cost of living is high here.,①その旅行は多くの費用がかかるだろう。 ②彼のミスが仕事を犠牲にした。 ③ここは生活費が高い。,Part1,95,
company,①会社 ②（one's ―）一緒にいること ③仲間 ④来客,名詞,①She works for a big company. ②I enjoyed his company. ③He came with a company of friends. ④We are having company tonight.,①彼女は大きな会社で働いている。 ②私は彼と一緒にいることを楽しんだ。 ③彼は仲間と一緒に来た。 ④今夜は来客がある。,Part1,96,
task,仕事〈可算〉,名詞,Cleaning the room is my daily task.,部屋の掃除は私の毎日の仕事だ。,Part1,97,
earn,①（金）を稼ぐ，もうける ②（評判など）を得る,他動詞,①He earns a lot of money. ②She earned a good reputation.,①彼は多くのお金を稼いでいる。 ②彼女は良い評判を得た。,Part1,98,
hurt,①（身体の部位が）痛む ②（身体，感情）を傷つける,自動詞,①My leg hurts. ②His words hurt her feelings.,①足が痛む。 ②彼の言葉が彼女の気持ちを傷つけた。,Part1,99,
injure,①～を痛める ②～をけがさせる,他動詞,①She injured her knee while skiing. ②The accident injured many people.,①彼女はスキー中に膝を痛めた。 ②その事故は多くの人をけがさせた。,Part1,100,
damage,①～に損害を与える ②損害，被害〈不可算〉 ③（―s）賠償金,他動詞,①The storm damaged many houses. ②The damage was very serious. ③He paid damages to the victim.,①嵐は多くの家に損害を与えた。 ②被害はとても深刻だった。 ③彼は被害者に賠償金を払った。,Part1,101,
destroy,①～を（完全に）破壊する ②～を殺す，全滅させる,他動詞,①The fire destroyed the building. ②The disease destroyed the crops.,①火事がその建物を完全に破壊した。 ②その病気が作物を全滅させた。,Part1,102,
ruin,①～を台無しにする ②～を破滅させる ③（―s）廃墟，荒廃,他動詞,①Rain ruined our picnic. ②Bad habits can ruin your health. ③We visited the old ruins.,①雨がピクニックを台無しにした。 ②悪い習慣は健康を破滅させる。 ③私たちは古い廃墟を訪れた。,Part1,103,
danger,危険,名詞,The hikers were in great danger.,登山者たちは大きな危険の中にいた。,Part1,104,
neighbor,①近所の人 ②（a next-door ―）隣の人,名詞,①My neighbor is very kind. ②The next-door neighbor greeted me.,①私の近所の人はとても親切だ。 ②隣の人が私に挨拶をした。,Part1,105,
audience,聴衆，観客,名詞,The audience clapped after the show.,ショーの後、観客は拍手した。,Part1,106,
crowd,群衆,名詞,A large crowd gathered in the park.,大きな群衆が公園に集まった。,Part1,107,
author,①著者 ②（主に文学作品の）作家,名詞,①Who is the author of this book? ②She is a famous author of novels.,①この本の著者は誰ですか？ ②彼女は有名な小説の作家だ。,Part1,108,
staff,（集合的に）職員，従業員,名詞,The hotel staff was very helpful.,ホテルのスタッフはとても親切だった。,Part1,109,
clerk,①〈米〉店員 ②事務員，社員,名詞,①I asked the clerk for help. ②She works as an office clerk.,①私は店員に助けを求めた。 ②彼女は会社の事務員として働いている。,Part1,110,
customer,客,名詞,The store has many regular customers.,その店には多くの常連客がいる。,Part1,111,
passenger,乗客,名詞,All passengers must wear seat belts.,乗客全員がシートベルトを着用しなければならない。,Part1,112,
elderly,①年配の ②（the ―）（総称的に）年配の人々,形容詞,①We should respect elderly people. ②The elderly need special care.,①年配の人を尊重すべきだ。 ②年配の人々は特別なケアが必要だ。,Part1,113,
female,①女性の ②（動物）雌の ③女性，雌,形容詞,①She is a female doctor. ②The female dog has puppies. ③There were many females in the group.,①彼女は女性の医者だ。 ②その雌の犬に子犬が生まれた。 ③そのグループには多くの女性がいた。,Part1,114,
head,①向かう ②～を率いる,自動詞,①We headed for the station. ②She heads a big team.,①私たちは駅に向かった。 ②彼女は大きなチームを率いている。,Part1,115,
follow,①～の後について行く，～に続く ②（忠告，方針など）に従う,他動詞,①The dog followed me home. ②Please follow the school rules.,①犬が家まで後をついてきた。 ②学校のルールに従ってください。,Part1,116,
wander,歩き回る，さまよう,自動詞,She wandered through the old town.,彼女は古い町を歩き回った。,Part1,117,
travel,①旅行する，移動する ②（光，音などが）進む,自動詞,①He traveled around the world. ②Sound travels fast through water.,①彼は世界中を旅した。 ②音は水の中を速く進む。,Part1,118,
pass,①～を通り過ぎる ②～を抜く ③（試験）に受かる ④（（人）A）（人）に（A を）渡す ⑤（時が）過ぎる ⑥通行証,他動詞,①We passed a beautiful lake. ②She passed all her rivals. ③He passed the math exam. ④Can you pass me the salt? ⑤Time passed quickly. ⑥Show your pass at the gate.,①私たちは美しい湖を通り過ぎた。 ②彼女はライバル全員を抜いた。 ③彼は数学の試験に受かった。 ④塩を渡してくれますか？ ⑤時間が早く過ぎた。 ⑥門で通行証を見せてください。,Part1,119,
likely,①（to do）～しそうだ，可能性が高い ②おそらく,形容詞,①It is likely to rain today. ②He will very likely come.,①今日は雨が降りそうだ。 ②彼はおそらく来るだろう。,Part1,120,
natural,①当然の ②自然の ③生まれながらの,形容詞,①It is natural to feel nervous. ②This park has natural beauty. ③She is a natural singer.,①緊張するのは当然だ。 ②この公園は自然の美しさを持つ。 ③彼女は生まれながらの歌い手だ。,Part1,121,
certain,①確かな ②（名詞の前で）ある～,形容詞,①I am certain that he is right. ②A certain man visited us.,①彼が正しいことは確かだ。 ②ある男性が私たちを訪ねてきた。,Part1,122,
probably,おそらく,副詞,She will probably be late.,彼女はおそらく遅れるだろう。,Part1,123,
face,①～に直面する ②〈方向〉～向きである ③顔，体面、文字盤,他動詞,①We must face the problem. ②Our classroom faces the garden. ③She has a kind face.,①私たちはその問題に直面しなければならない。 ②私たちの教室は庭に向いている。 ③彼女は優しい顔をしている。,Part1,124,
avoid,～を避ける,他動詞,You should avoid eating too much sugar.,砂糖のとりすぎを避けるべきだ。,Part1,125,
solve,～を解決する,他動詞,He tried to solve the math problem.,彼はその数学の問題を解こうとした。,Part1,126,
trouble,①問題，ごたごた（通例〈不可算〉)②～を困らせる,名詞,①We had trouble finding the place. ②Sorry to trouble you.,①その場所を見つけるのに苦労した。 ②お手数をおかけしてすみません。,Part1,127,
issue,①問題 ②（雑誌の）号 ③（切手など）を発行する,名詞,①Climate change is a big issue. ②I read the latest issue of the magazine. ③The government issued new coins.,①気候変動は大きな問題だ。 ②私はその雑誌の最新号を読んだ。 ③政府は新しいコインを発行した。,Part1,128,
cheer,①（on）～に声援を送る ②（up）～を励ます ③声援，励まし ④（―s）乾杯,他動詞,①The fans cheered on the team. ②Her smile cheered me up. ③The crowd gave a loud cheer. ④Cheers! Let's drink.,①ファンがチームに声援を送った。 ②彼女の笑顔が私を励ました。 ③群衆が大きな声援を上げた。 ④乾杯！飲みましょう。,Part1,129,
encourage,①（A to do）（A）に（～するよう）促す，奨励する ②～を励ます,他動詞,①My father encouraged me to try again. ②Her kind words encouraged me.,①父は私に再挑戦するよう促した。 ②彼女の優しい言葉が私を励ました。,Part1,130,
support,①～を支持する ②（家族など）を養う ③（理論など）を立証する ④支持，支援<不可算>,他動詞,①Many people supported her plan. ②He works hard to support his family. ③The evidence supports this idea. ④Thank you for your support.,①多くの人が彼女の計画を支持した。 ②彼は家族を養うために一生懸命働く。 ③証拠はこの考えを立証している。 ④ご支援ありがとうございます。,Part1,131,
prevent,①（A from B）（AがBするの）を妨げる ②～を予防する,他動詞,①Fog prevented us from driving. ②Exercise helps prevent disease.,①霧が私たちの運転を妨げた。 ②運動は病気の予防に役立つ。,Part1,132,
deny,①～を否定する ②〈SVO1O2〉（O1）に（O2を）与えない,他動詞,①He denied stealing the money. ②She denied her child nothing.,①彼はそのお金を盗んだことを否定した。 ②彼女は子どもに何も与えないことはなかった。,Part1,133,
enable,（A to do）（A）に［が］（～することを）可能にする,他動詞,This app enables students to study anywhere.,このアプリは生徒がどこでも勉強できるようにする。,Part1,134,
succeed,①（in ～）（～に）成功する ②（to ～）（家業などを）継ぐ,自動詞,①She succeeded in passing the test. ②He succeeded his father in the business.,①彼女はテストに合格することに成功した。 ②彼は父の家業を継いだ。,Part1,135,
miss,①～を逃す ②～を休む ③～を恋しく思う,他動詞,①He missed the last train. ②She missed a week of school. ③I really miss my grandmother.,①彼は最終電車を逃した。 ②彼女は一週間学校を休んだ。 ③私は本当におばあちゃんが恋しい。,Part1,136,
fail,①（in［at］～）（～に）失敗する ②（to do）～できない ③（試験）に落ちる ④（人）に役に立たない,自動詞,①He failed in his first attempt. ②She failed to answer the question. ③I failed the history test. ④Words fail me.,①彼は最初の挑戦に失敗した。 ②彼女はその質問に答えられなかった。 ③私は歴史のテストに落ちた。 ④言葉が見つからない。,Part1,137,
mistake,①間違い ②（A for B）（A）を（B と）間違える,名詞,①Everyone makes mistakes. ②I mistook him for his brother.,①誰でも間違いを犯す。 ②私は彼を弟と間違えた。,Part1,138,
check,①～を調べる ②～を阻止する ③小切手 ④勘定書 ⑤検査，点検 ⑥抑制,他動詞,①Please check your answers. ②The police checked the crowd. ③He paid by check. ④Can I have the check? ⑤We did a safety check. ⑥There are some checks on power.,①答えを確認してください。 ②警察は群衆を阻止した。 ③彼は小切手で払った。 ④お勘定をもらえますか？ ⑤安全検査をした。 ⑥権力に対するいくつかの抑制がある。,Part1,139,
hide,①～を隠す ②隠れる,他動詞,①She hid the gift behind her back. ②The cat hid under the bed.,①彼女は背中の後ろにプレゼントを隠した。 ②猫はベッドの下に隠れた。,Part1,140,
draw,①（線で絵など）を描く ②（注意）を引く ③～を引っ張る，集める,他動詞,①She draws beautiful pictures. ②The clown drew the children's attention. ③He drew the cart up the hill.,①彼女は美しい絵を描く。 ②道化師が子どもたちの注意を引いた。 ③彼は坂を荷車を引っ張って上った。,Part1,141,
join,①（クラブ，団体など）に加わる ②～をつなぐ ③（食事などを）～とともにする ④（議論，活動などに）参加する,他動詞,①He joined the soccer club. ②Join these two pieces together. ③Will you join us for dinner? ④She joined the discussion.,①彼はサッカークラブに加わった。 ②この2つのピースをつなげてください。 ③一緒に夕食はどうですか？ ④彼女はその議論に参加した。,Part1,142,
